Title,Citation,CitedCaseName
"Golden v. Michael Grecco Productions, Inc.",246 F.3d 152,"On Davis v. The Gap, Inc."
Grant v. Trump,868 F.2d 1313,Weissmann v. Freeman
Grant v. Trump,953 F.2d 731,"Wright v. Warner Books, Inc."
Grant v. Trump,510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
Grant v. Trump,11 F.4th 26,"Andy Warhol Foundation for Visual Arts, Inc. v. Goldsmith"
Grant v. Trump,448 F.3d 605,Bill Graham Archives v. Dorling Kindersley Ltd.
Grant v. Trump,467 F.3d 244,Blanch v. Koons
Grant v. Trump,593 U.S. 1,"Google LLC v. Oracle America, Inc."
Hollander v. Steinberg,471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
Hollander v. Steinberg,467 F.3d 244,Blanch v. Koons
Hollander v. Steinberg,419 Fed.Appx. 44,Hollander v. Steinberg
Hollander v. Steinberg,60 F.3d 913,American Geophysical Union v. Texaco Inc.
Hughes v. Benjamin,246 F.3d 152,"On Davis v. The Gap, Inc."
Hughes v. Benjamin,755 F.3d 87,"Authors Guild, Inc. v. HathiTrust"
Hughes v. Benjamin,150 F.3d 132,"Castle Rock Entertainment, Inc. v. Carol Pub. Group, Inc."
Hughes v. Benjamin,437 F.Supp.3d 382,Hughes v. Benjamin
Hughes v. Benjamin,815 F.3d 1145,Lenz v. Universal Music Corp.
Hughes v. Benjamin,510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
Hughes v. Benjamin,448 F.3d 605,Bill Graham Archives v. Dorling Kindersley Ltd.
Hughes v. Benjamin,364 F.3d 471,NXIVM Corp. v. Ross Institute
Hughes v. Benjamin,467 F.3d 244,Blanch v. Koons
Hughes v. Benjamin,839 F.3d 168,TCA Television Corp. v. McCollum
Hughes v. Benjamin,883 F.3d 169,"Fox News Network, LLC v. Tveyes, Inc."
Hughes v. Benjamin,714 F.3d 694,Cariou v. Prince
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",464 U.S. 417,"Sony Corp. of America v. Universal City Studios, Inc."
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",815 F.3d 1145,Lenz v. Universal Music Corp.
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",756 F.3d 73,Swatch Group Management Services Ltd. v. Bloomberg L.P.
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",562 F.3d 630,"A.V. ex rel. Vanderhye v. iParadigms, LLC"
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",235 F.3d 18,Nunez v. Caribbean Intern. News Corp.
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",755 F.3d 87,"Authors Guild, Inc. v. HathiTrust"
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",150 F.3d 132,"Castle Rock Entertainment, Inc. v. Carol Pub. Group, Inc."
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",725 F.3d 1170,"Seltzer v. Green Day, Inc."
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",448 F.3d 605,Bill Graham Archives v. Dorling Kindersley Ltd.
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",364 F.3d 471,NXIVM Corp. v. Ross Institute
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",839 F.3d 168,TCA Television Corp. v. McCollum
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",953 F.2d 731,"Wright v. Warner Books, Inc."
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",467 F.3d 244,Blanch v. Koons
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",804 F.3d 202,"Authors Guild v. Google, Inc."
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",581 F.Supp.3d 509,"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)"
"In re DMCA Section 512(h) Subpoena to YouTube (Google, Inc.)",714 F.3d 694,Cariou v. Prince
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",725 F.3d 1170,"Seltzer v. Green Day, Inc."
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",802 F.3d 1178,Katz v. Google Inc.
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",815 F.3d 1145,Lenz v. Universal Music Corp.
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",109 F.3d 1394,"Dr. Seuss Enterprises, L.P. v. Penguin Books USA, Inc."
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",983 F.3d 443,"Dr. Seuss Enterprises, L.P. v. ComicMix LLC"
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",608 F.Supp.3d 868,"In re DMCA § 512(h) Subpoena to Twitter, Inc."
"In re DMCA § 512(h) Subpoena to Twitter, Inc.",336 F.3d 811,Kelly v. Arriba Soft Corp.
Katz v. Google Inc.,769 F.3d 1232,Cambridge University Press v. Patton
Katz v. Google Inc.,688 F.3d 1164,"Monge v. Maya Magazines, Inc."
Katz v. Google Inc.,725 F.3d 1170,"Seltzer v. Green Day, Inc."
Katz v. Google Inc.,510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
Katz v. Google Inc.,235 F.3d 18,Nunez v. Caribbean Intern. News Corp.
Katz v. Google Inc.,562 F.3d 630,"A.V. ex rel. Vanderhye v. iParadigms, LLC"
Katz v. Google Inc.,336 F.3d 811,Kelly v. Arriba Soft Corp.
Katz v. Google Inc.,471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
Katz v. Google Inc.,533 F.3d 1287,"Peter Letterese And Associates, Inc. v. World Institute Of Scientology Enterprises"
Katz v. Google Inc.,491 F.Supp.2d 177,"Fitzgerald v. CBS Broadcasting, Inc."
Katz v. Google Inc.,137 F.3d 109,Leibovitz v. Paramount Pictures Corp.
Katz v. Google Inc.,756 F.3d 73,Swatch Group Management Services Ltd. v. Bloomberg L.P.
Katz v. Google Inc.,268 F.3d 1257,Suntrust Bank v. Houghton Mifflin Co.
"LMNOPI v. XYZ Films, LLC",839 F.3d 168,TCA Television Corp. v. McCollum
"LMNOPI v. XYZ Films, LLC",804 F.3d 202,"Authors Guild v. Google, Inc."
"LMNOPI v. XYZ Films, LLC",996 F.2d 1366,"Twin Peaks Productions, Inc. v. Publications Intern., Ltd."
"LMNOPI v. XYZ Films, LLC",714 F.3d 694,Cariou v. Prince
"LMNOPI v. XYZ Films, LLC",510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
"LMNOPI v. XYZ Films, LLC",449 F.Supp.3d 86,"LMNOPI v. XYZ Films, LLC"
"LMNOPI v. XYZ Films, LLC",755 F.3d 87,"Authors Guild, Inc. v. HathiTrust"
"LMNOPI v. XYZ Films, LLC",126 F.3d 70,"Ringgold v. Black Entertainment Television, Inc."
"LMNOPI v. XYZ Films, LLC",448 F.3d 605,Bill Graham Archives v. Dorling Kindersley Ltd.
Larson v. Dorland,28 F.4th 314,Monsarrat v. Newman
Larson v. Dorland,495 U.S. 207,Stewart v. Abend
Larson v. Dorland,953 F.2d 731,"Wright v. Warner Books, Inc."
Larson v. Dorland,510 U.S. 569,"Campbell v. Acuff-Rose Music, Inc."
Larson v. Dorland,689 F.3d 29,"Society of Holy Transfiguration Monastery, Inc. v. Gregory"
Larson v. Dorland,693 F.Supp.3d 59,Larson v. Dorland
Larson v. Dorland,235 F.3d 18,Nunez v. Caribbean Intern. News Corp.
Larson v. Dorland,471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
Larson v. Dorland,593 U.S. 1,"Google LLC v. Oracle America, Inc."
"Lombardo v. Dr. Seuss Enterprises, L.P.",43 F.Supp.3d 379,"Fox News Network, LLC v. TVEyes, Inc."
"Lombardo v. Dr. Seuss Enterprises, L.P.",682 F.3d 687,"Brownmark Films, LLC v. Comedy Partners"
"Lombardo v. Dr. Seuss Enterprises, L.P.",819 F.Supp.2d 1310,"CCA and B, LLC v. F ± W Media Inc."
"Lombardo v. Dr. Seuss Enterprises, L.P.",253 F.Supp.3d 737,"Estate of Smith v. Cash Money Records, Inc."
"Lombardo v. Dr. Seuss Enterprises, L.P.",953 F.2d 731,"Wright v. Warner Books, Inc."
"Lombardo v. Dr. Seuss Enterprises, L.P.",839 F.3d 168,TCA Television Corp. v. McCollum
"Lombardo v. Dr. Seuss Enterprises, L.P.",279 F.Supp.3d 497,"Lombardo v. Dr. Seuss Enterprises, L.P."
"Lombardo v. Dr. Seuss Enterprises, L.P.",467 F.3d 244,Blanch v. Koons
"Lombardo v. Dr. Seuss Enterprises, L.P.",364 F.3d 471,NXIVM Corp. v. Ross Institute
"Lombardo v. Dr. Seuss Enterprises, L.P.",74 F.Supp.3d 605,North Jersey Media Group Inc. v. Pirro
"Lombardo v. Dr. Seuss Enterprises, L.P.",714 F.3d 694,Cariou v. Prince
"Lombardo v. Dr. Seuss Enterprises, L.P.",97 F.Supp.3d 512,Adjmi v. DLT Entertainment Ltd.
"Lombardo v. Dr. Seuss Enterprises, L.P.",60 F.3d 913,American Geophysical Union v. Texaco Inc.
"Lombardo v. Dr. Seuss Enterprises, L.P.",804 F.3d 202,"Authors Guild v. Google, Inc."
"Lombardo v. Dr. Seuss Enterprises, L.P.",44 F.Supp.3d 359,"Arrow Productions, LTD. v. Weinstein Co. LLC"
"Lombardo v. Dr. Seuss Enterprises, L.P.",137 F.3d 109,Leibovitz v. Paramount Pictures Corp.
"Lombardo v. Dr. Seuss Enterprises, L.P.",756 F.3d 73,Swatch Group Management Services Ltd. v. Bloomberg L.P.
"Lombardo v. Dr. Seuss Enterprises, L.P.",471 U.S. 539,"Harper & Row Publishers, Inc. v. Nation Enterprises"
"Lombardo v. Dr. Seuss Enterprises, L.P.",755 F.3d 87,"Authors Guild, Inc. v. HathiTrust"
